Building prefix dict from the default dictionary ...
Dumping model to file cache /tmp/jieba.cache
Loading model cost 0.608 seconds.
Prefix dict has been built successfully.
Using device: cuda
IN: TextClassificationModel_CNN_MHA
Test Loss: 2.0002, Train Loss: 2.0228, Test Emotion Accuracy: 0.8204, Test Feature Accuracy: 0.4592
Test Loss: 1.9680, Train Loss: 1.9857, Test Emotion Accuracy: 0.8084, Test Feature Accuracy: 0.4528
Test Loss: 1.9208, Train Loss: 1.9468, Test Emotion Accuracy: 0.8233, Test Feature Accuracy: 0.4564
Test Loss: 1.8933, Train Loss: 1.9142, Test Emotion Accuracy: 0.8162, Test Feature Accuracy: 0.4613
Test Loss: 1.9448, Train Loss: 1.8953, Test Emotion Accuracy: 0.8126, Test Feature Accuracy: 0.4819
Test Loss: 1.8840, Train Loss: 1.8767, Test Emotion Accuracy: 0.8190, Test Feature Accuracy: 0.4741
Test Loss: 1.8610, Train Loss: 1.8425, Test Emotion Accuracy: 0.8162, Test Feature Accuracy: 0.4833
Test Loss: 1.8204, Train Loss: 1.7996, Test Emotion Accuracy: 0.8155, Test Feature Accuracy: 0.4883
Test Loss: 1.7976, Train Loss: 1.7860, Test Emotion Accuracy: 0.8070, Test Feature Accuracy: 0.5174
Test Loss: 1.7701, Train Loss: 1.7679, Test Emotion Accuracy: 0.8133, Test Feature Accuracy: 0.5131
Test Loss: 1.7820, Train Loss: 1.7655, Test Emotion Accuracy: 0.8119, Test Feature Accuracy: 0.4904
Test Loss: 1.7497, Train Loss: 1.7265, Test Emotion Accuracy: 0.8098, Test Feature Accuracy: 0.5266
Test Loss: 1.7539, Train Loss: 1.7529, Test Emotion Accuracy: 0.8141, Test Feature Accuracy: 0.5436
Test Loss: 1.6751, Train Loss: 1.6863, Test Emotion Accuracy: 0.8183, Test Feature Accuracy: 0.5713
Test Loss: 1.6425, Train Loss: 1.6349, Test Emotion Accuracy: 0.8055, Test Feature Accuracy: 0.6004
Test Loss: 1.6166, Train Loss: 1.6131, Test Emotion Accuracy: 0.8112, Test Feature Accuracy: 0.6125
Test Loss: 1.6314, Train Loss: 1.5644, Test Emotion Accuracy: 0.7928, Test Feature Accuracy: 0.6111
Test Loss: 1.6070, Train Loss: 1.4925, Test Emotion Accuracy: 0.8141, Test Feature Accuracy: 0.5848
Test Loss: 1.6074, Train Loss: 1.4957, Test Emotion Accuracy: 0.8155, Test Feature Accuracy: 0.6097
Test Loss: 1.5366, Train Loss: 1.4868, Test Emotion Accuracy: 0.8169, Test Feature Accuracy: 0.6480
Test Loss: 1.5317, Train Loss: 1.4379, Test Emotion Accuracy: 0.8084, Test Feature Accuracy: 0.6487
Test Loss: 1.4629, Train Loss: 1.4188, Test Emotion Accuracy: 0.8084, Test Feature Accuracy: 0.6764
Test Loss: 1.4392, Train Loss: 1.3674, Test Emotion Accuracy: 0.8162, Test Feature Accuracy: 0.6969
Test Loss: 1.5116, Train Loss: 1.3786, Test Emotion Accuracy: 0.8098, Test Feature Accuracy: 0.6678
Test Loss: 1.4143, Train Loss: 1.3518, Test Emotion Accuracy: 0.8006, Test Feature Accuracy: 0.6891
Test Loss: 1.4408, Train Loss: 1.3321, Test Emotion Accuracy: 0.8133, Test Feature Accuracy: 0.7069
Test Loss: 1.4189, Train Loss: 1.3043, Test Emotion Accuracy: 0.8133, Test Feature Accuracy: 0.7140
Test Loss: 1.4258, Train Loss: 1.3026, Test Emotion Accuracy: 0.8070, Test Feature Accuracy: 0.6820
Test Loss: 1.4612, Train Loss: 1.3038, Test Emotion Accuracy: 0.8126, Test Feature Accuracy: 0.6764
Test Loss: 1.3528, Train Loss: 1.2597, Test Emotion Accuracy: 0.8105, Test Feature Accuracy: 0.7260
IN: TextClassificationModel_BiGRU
Test Loss: 4.6569, Train Loss: 4.7395, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.0987
Test Loss: 4.2490, Train Loss: 4.5065, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1164
Test Loss: 3.8521, Train Loss: 4.1671, Test Emotion Accuracy: 0.6650, Test Feature Accuracy: 0.1093
